messageid,severity,severityid,module_dll,module_name,description
505,error,-1073741824,provmsgs.dll,SMS Provider,Server $string1$ is unreachable or down.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
505,error,-1073741824,srvmsgs.dll,SMS Server,Server $string1$ is unreachable or down.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
506,informational,1073741824,climsgs.dll,SMS Client,Copied file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
506,informational,1073741824,provmsgs.dll,SMS Provider,Copied file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
506,informational,1073741824,srvmsgs.dll,SMS Server,Copied file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
507,informational,1073741824,climsgs.dll,SMS Client,Moved file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
507,informational,1073741824,provmsgs.dll,SMS Provider,Moved file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
507,informational,1073741824,srvmsgs.dll,SMS Server,Moved file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
508,informational,1073741824,climsgs.dll,SMS Client,Deleted file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
508,informational,1073741824,provmsgs.dll,SMS Provider,Deleted file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
508,informational,1073741824,srvmsgs.dll,SMS Server,Deleted file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
509,informational,1073741824,climsgs.dll,SMS Client,Locked file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
509,informational,1073741824,provmsgs.dll,SMS Provider,Locked file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
509,informational,1073741824,srvmsgs.dll,SMS Server,Locked file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
510,informational,1073741824,climsgs.dll,SMS Client,Unlocked file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
510,informational,1073741824,provmsgs.dll,SMS Provider,Unlocked file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
510,informational,1073741824,srvmsgs.dll,SMS Server,Unlocked file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
511,informational,1073741824,climsgs.dll,SMS Client,Created directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
511,informational,1073741824,provmsgs.dll,SMS Provider,Created directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
511,informational,1073741824,srvmsgs.dll,SMS Server,Created directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
512,informational,1073741824,climsgs.dll,SMS Client,Removed directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
512,informational,1073741824,provmsgs.dll,SMS Provider,Removed directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
512,informational,1073741824,srvmsgs.dll,SMS Server,Removed directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
513,informational,1073741824,climsgs.dll,SMS Client,Set the current directory for this process to '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
513,informational,1073741824,provmsgs.dll,SMS Provider,Set the current directory for this process to '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
513,informational,1073741824,srvmsgs.dll,SMS Server,Set the current directory for this process to '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
514,informational,1073741824,climsgs.dll,SMS Client,Opened a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
514,informational,1073741824,provmsgs.dll,SMS Provider,Opened a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
514,informational,1073741824,srvmsgs.dll,SMS Server,Opened a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
515,informational,1073741824,climsgs.dll,SMS Client,Could not open a change notification handle for directory '$string1$' because the directory is on a remote computer.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
515,informational,1073741824,provmsgs.dll,SMS Provider,Could not open a change notification handle for directory '$string1$' because the directory is on a remote computer.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
515,informational,1073741824,srvmsgs.dll,SMS Server,Could not open a change notification handle for directory '$string1$' because the directory is on a remote computer.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
516,informational,1073741824,climsgs.dll,SMS Client,Closed the change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
516,informational,1073741824,provmsgs.dll,SMS Provider,Closed the change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
516,informational,1073741824,srvmsgs.dll,SMS Server,Closed the change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
517,warning,-2147483648,climsgs.dll,SMS Client,Could not open file '$string1$' for reading.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
517,warning,-2147483648,provmsgs.dll,SMS Provider,Could not open file '$string1$' for reading.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
517,warning,-2147483648,srvmsgs.dll,SMS Server,Could not open file '$string1$' for reading.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
518,warning,-2147483648,climsgs.dll,SMS Client,Could not open file '$string1$' for reading and writing.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
518,warning,-2147483648,provmsgs.dll,SMS Provider,Could not open file '$string1$' for reading and writing.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
518,warning,-2147483648,srvmsgs.dll,SMS Server,Could not open file '$string1$' for reading and writing.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
519,warning,-2147483648,climsgs.dll,SMS Client,Could not read from file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
519,warning,-2147483648,provmsgs.dll,SMS Provider,Could not read from file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
519,warning,-2147483648,srvmsgs.dll,SMS Server,Could not read from file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
520,warning,-2147483648,climsgs.dll,SMS Client,Could not write to file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
520,warning,-2147483648,provmsgs.dll,SMS Provider,Could not write to file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
520,warning,-2147483648,srvmsgs.dll,SMS Server,Could not write to file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
521,warning,-2147483648,climsgs.dll,SMS Client,Could not copy file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
521,warning,-2147483648,provmsgs.dll,SMS Provider,Could not copy file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
521,warning,-2147483648,srvmsgs.dll,SMS Server,Could not copy file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
522,warning,-2147483648,climsgs.dll,SMS Client,Could not move file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
522,warning,-2147483648,provmsgs.dll,SMS Provider,Could not move file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
522,warning,-2147483648,srvmsgs.dll,SMS Server,Could not move file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
523,warning,-2147483648,climsgs.dll,SMS Client,Could not delete file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
523,warning,-2147483648,provmsgs.dll,SMS Provider,Could not delete file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
523,warning,-2147483648,srvmsgs.dll,SMS Server,Could not delete file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
524,warning,-2147483648,climsgs.dll,SMS Client,Could not lock file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
524,warning,-2147483648,provmsgs.dll,SMS Provider,Could not lock file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
524,warning,-2147483648,srvmsgs.dll,SMS Server,Could not lock file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
525,warning,-2147483648,climsgs.dll,SMS Client,Could not create directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
525,warning,-2147483648,provmsgs.dll,SMS Provider,Could not create directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
525,warning,-2147483648,srvmsgs.dll,SMS Server,Could not create directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
526,warning,-2147483648,climsgs.dll,SMS Client,Could not remove directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
526,warning,-2147483648,provmsgs.dll,SMS Provider,Could not remove directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
526,warning,-2147483648,srvmsgs.dll,SMS Server,Could not remove directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
527,warning,-2147483648,climsgs.dll,SMS Client,Could not set the current directory for this process to '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
527,warning,-2147483648,provmsgs.dll,SMS Provider,Could not set the current directory for this process to '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
527,warning,-2147483648,srvmsgs.dll,SMS Server,Could not set the current directory for this process to '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
528,warning,-2147483648,climsgs.dll,SMS Client,Could not open a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
528,warning,-2147483648,provmsgs.dll,SMS Provider,Could not open a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
528,warning,-2147483648,srvmsgs.dll,SMS Server,Could not open a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
529,warning,-2147483648,climsgs.dll,SMS Client,Could not wait on a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
529,warning,-2147483648,provmsgs.dll,SMS Provider,Could not wait on a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
529,warning,-2147483648,srvmsgs.dll,SMS Server,Could not wait on a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
530,error,-1073741824,climsgs.dll,SMS Client,Could not open file '$string1$' for reading.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
530,error,-1073741824,provmsgs.dll,SMS Provider,Could not open file '$string1$' for reading.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
530,error,-1073741824,srvmsgs.dll,SMS Server,Could not open file '$string1$' for reading.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
531,error,-1073741824,climsgs.dll,SMS Client,Could not open file '$string1$' for reading and writing.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
531,error,-1073741824,provmsgs.dll,SMS Provider,Could not open file '$string1$' for reading and writing.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
531,error,-1073741824,srvmsgs.dll,SMS Server,Could not open file '$string1$' for reading and writing.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
532,error,-1073741824,climsgs.dll,SMS Client,Could not read from file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
532,error,-1073741824,provmsgs.dll,SMS Provider,Could not read from file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
532,error,-1073741824,srvmsgs.dll,SMS Server,Could not read from file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
533,error,-1073741824,climsgs.dll,SMS Client,Could not write to file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
533,error,-1073741824,provmsgs.dll,SMS Provider,Could not write to file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
533,error,-1073741824,srvmsgs.dll,SMS Server,Could not write to file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
534,error,-1073741824,climsgs.dll,SMS Client,Could not copy file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
534,error,-1073741824,provmsgs.dll,SMS Provider,Could not copy file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
534,error,-1073741824,srvmsgs.dll,SMS Server,Could not copy file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
535,error,-1073741824,climsgs.dll,SMS Client,Could not move file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
535,error,-1073741824,provmsgs.dll,SMS Provider,Could not move file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
535,error,-1073741824,srvmsgs.dll,SMS Server,Could not move file '$string1$' to '$string2$'.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
536,error,-1073741824,climsgs.dll,SMS Client,Could not delete file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
536,error,-1073741824,provmsgs.dll,SMS Provider,Could not delete file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
536,error,-1073741824,srvmsgs.dll,SMS Server,Could not delete file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
537,error,-1073741824,climsgs.dll,SMS Client,Could not lock file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
537,error,-1073741824,provmsgs.dll,SMS Provider,Could not lock file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
537,error,-1073741824,srvmsgs.dll,SMS Server,Could not lock file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
538,error,-1073741824,climsgs.dll,SMS Client,Could not create directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
538,error,-1073741824,provmsgs.dll,SMS Provider,Could not create directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
538,error,-1073741824,srvmsgs.dll,SMS Server,Could not create directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
539,error,-1073741824,climsgs.dll,SMS Client,Could not remove directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
539,error,-1073741824,provmsgs.dll,SMS Provider,Could not remove directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
539,error,-1073741824,srvmsgs.dll,SMS Server,Could not remove directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
540,error,-1073741824,climsgs.dll,SMS Client,Could not set the current directory for this process to '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
540,error,-1073741824,provmsgs.dll,SMS Provider,Could not set the current directory for this process to '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
540,error,-1073741824,srvmsgs.dll,SMS Server,Could not set the current directory for this process to '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
541,error,-1073741824,climsgs.dll,SMS Client,Could not open a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
541,error,-1073741824,provmsgs.dll,SMS Provider,Could not open a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
541,error,-1073741824,srvmsgs.dll,SMS Server,Could not open a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
542,error,-1073741824,climsgs.dll,SMS Client,Could not wait on a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
542,error,-1073741824,provmsgs.dll,SMS Provider,Could not wait on a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
542,error,-1073741824,srvmsgs.dll,SMS Server,Could not wait on a change notification handle for directory '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
543,informational,1073741824,climsgs.dll,SMS Client,"Parsed site control file '$string1$', serial number $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$"
543,informational,1073741824,provmsgs.dll,SMS Provider,"Parsed site control file '$string1$', serial number $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$"
543,informational,1073741824,srvmsgs.dll,SMS Server,"Parsed site control file '$string1$', serial number $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$"
544,informational,1073741824,climsgs.dll,SMS Client,Wrote delta site control file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
544,informational,1073741824,provmsgs.dll,SMS Provider,Wrote delta site control file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
544,informational,1073741824,srvmsgs.dll,SMS Server,Wrote delta site control file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
545,error,-1073741824,climsgs.dll,SMS Client,Could not read site control file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
545,error,-1073741824,provmsgs.dll,SMS Provider,Could not read site control file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
545,error,-1073741824,srvmsgs.dll,SMS Server,Could not read site control file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
546,error,-1073741824,climsgs.dll,SMS Client,"Could not parse site control file '$string1$', the file contains a syntax error or it is improperly formatted or corrupt.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$"
546,error,-1073741824,provmsgs.dll,SMS Provider,"Could not parse site control file '$string1$', the file contains a syntax error or it is improperly formatted or corrupt.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$"
546,error,-1073741824,srvmsgs.dll,SMS Server,"Could not parse site control file '$string1$', the file contains a syntax error or it is improperly formatted or corrupt.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$"
547,error,-1073741824,climsgs.dll,SMS Client,"Could not parse site control file '$string1$', the file does not contain an end-of-file (EOF) marker.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$"
547,error,-1073741824,provmsgs.dll,SMS Provider,"Could not parse site control file '$string1$', the file does not contain an end-of-file (EOF) marker.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$"
547,error,-1073741824,srvmsgs.dll,SMS Server,"Could not parse site control file '$string1$', the file does not contain an end-of-file (EOF) marker.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$"
548,error,-1073741824,climsgs.dll,SMS Client,Site control file '$string1$' does not contain a 'File Definition' item.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
548,error,-1073741824,provmsgs.dll,SMS Provider,Site control file '$string1$' does not contain a 'File Definition' item.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
548,error,-1073741824,srvmsgs.dll,SMS Server,Site control file '$string1$' does not contain a 'File Definition' item.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
549,error,-1073741824,climsgs.dll,SMS Client,Could not write delta site control file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
549,error,-1073741824,provmsgs.dll,SMS Provider,Could not write delta site control file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
549,error,-1073741824,srvmsgs.dll,SMS Server,Could not write delta site control file '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
550,informational,1073741824,climsgs.dll,SMS Client,Parsed installation map '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
550,informational,1073741824,provmsgs.dll,SMS Provider,Parsed installation map '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
550,informational,1073741824,srvmsgs.dll,SMS Server,Parsed installation map '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
551,error,-1073741824,climsgs.dll,SMS Client,Could not read installation map '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
551,error,-1073741824,provmsgs.dll,SMS Provider,Could not read installation map '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
551,error,-1073741824,srvmsgs.dll,SMS Server,Could not read installation map '$string1$'.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
552,error,-1073741824,climsgs.dll,SMS Client,"Could not parse installation map '$string1$', the file contains a syntax error or it is improperly formatted or corrupt.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$"
552,error,-1073741824,provmsgs.dll,SMS Provider,"Could not parse installation map '$string1$', the file contains a syntax error or it is improperly formatted or corrupt.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$"
552,error,-1073741824,srvmsgs.dll,SMS Server,"Could not parse installation map '$string1$', the file contains a syntax error or it is improperly formatted or corrupt.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$"
553,informational,1073741824,climsgs.dll,SMS Client,Read registry key '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
553,informational,1073741824,provmsgs.dll,SMS Provider,Read registry key '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
553,informational,1073741824,srvmsgs.dll,SMS Server,Read registry key '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
554,informational,1073741824,climsgs.dll,SMS Client,Wrote registry key '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
554,informational,1073741824,provmsgs.dll,SMS Provider,Wrote registry key '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
554,informational,1073741824,srvmsgs.dll,SMS Server,Wrote registry key '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
555,informational,1073741824,climsgs.dll,SMS Client,Deleted registry key '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
555,informational,1073741824,provmsgs.dll,SMS Provider,Deleted registry key '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
555,informational,1073741824,srvmsgs.dll,SMS Server,Deleted registry key '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
556,informational,1073741824,climsgs.dll,SMS Client,Read registry value '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
556,informational,1073741824,provmsgs.dll,SMS Provider,Read registry value '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
556,informational,1073741824,srvmsgs.dll,SMS Server,Read registry value '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
557,informational,1073741824,climsgs.dll,SMS Client,Wrote registry value '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
557,informational,1073741824,provmsgs.dll,SMS Provider,Wrote registry value '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
557,informational,1073741824,srvmsgs.dll,SMS Server,Wrote registry value '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
558,informational,1073741824,climsgs.dll,SMS Client,Deleted registry value '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
558,informational,1073741824,provmsgs.dll,SMS Provider,Deleted registry value '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
558,informational,1073741824,srvmsgs.dll,SMS Server,Deleted registry value '$string1$' on computer $string2$.$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
